Unnamed: 0,SuperMarketNew2004,SuperMarketPre1980,QuickServiceRestaurantNew2004,QuickServiceRestaurantPre1980,PrimarySchoolNew2004,PrimarySchoolPre1980,StripMallNew2004,StripMallPre1980,WarehouseNew2004,WarehousePre1980,Stand-aloneRetailNew2004,Stand-aloneRetailPre1980,SecondarySchoolNew2004,SecondarySchoolPre1980,FullServiceRestaurantNew2004,FullServiceRestaurantPre1980,SmallOfficeNew2004,SmallOfficePre1980,MediumOfficeNew2004,MediumOfficePre1980,LargeOfficeNew2004,LargeOfficePre1980,HospitalNew2004,HospitalPre1980,MidriseApartmentNew2004,MidriseApartmentPre1980,SmallHotelNew2004,SmallHotelPre1980,LargeHotelNew2004,LargeHotelPre1980
0,54.7942676045,58.7514739397,6.87293854685,7.95930391701,27.7723400695,32.7087072097,7.3287903758,9.4338607603,8.25213839426,8.82238741759,5.98564634105,7.74893270815,58.8784021124,65.4320256397,11.1487355369,13.8833967443,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964310059,171.767654259,245.301178778,303.136499907,8.06629538894,9.87789512574,20.0256332553,25.5542504843,69.0082731468,79.7836197809
1,54.2962218895,58.1575998857,6.86031589427,7.94932584507,27.7719070418,32.7079735182,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,58.8779192764,65.431042042,11.1338904549,13.8649289661,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964309955,130.360900723,244.619431657,302.237422597,8.05370254913,9.90948483675,19.766772711,25.235340792,68.4057937096,79.9152360427
2,53.7453088058,57.7654864463,4.82641000899,5.29018926756,27.7708625688,32.7067985399,7.3287903758,9.4338607603,8.34177073232,8.91392247717,5.98564634105,7.74893270815,58.8761115864,65.4291328653,7.4085068778,7.99035744277,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964310011,171.740566445,243.954501074,301.362466541,7.75704064198,9.64203276071,19.6553730878,25.0912880316,68.0766133616,80.277831044
3,53.1778929468,57.5205102394,4.85363678419,5.29563265741,27.7706979113,32.7063260525,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,58.876051036,65.4288108495,7.43838820852,7.99274044204,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964309945,130.360900714,243.722493743,301.024942954,7.75515955496,9.6610585499,19.5244748935,24.9532355885,67.8660991295,80.3525714098
4,52.6745182379,57.3596193717,4.85415277709,5.29204110344,27.7695697772,32.7049524261,7.3287903758,9.4338607603,8.36292127582,9.00301579208,5.98564634105,7.74893270815,58.8741132315,65.4267497706,7.43330096028,7.9859146576,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964310044,131.641365507,243.298991563,300.480776457,7.60679424329,9.53613122681,16.9773102347,21.0488916264,58.7077214591,67.4383834204
5,52.2114270681,57.2023195362,4.85980762833,5.29032513023,27.7685438507,32.7036564511,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,58.8723735784,65.4247809505,7.43983346563,7.98383636017,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964310015,130.360900783,243.034491419,300.136614017,7.60658370087,9.56390456919,16.8646603787,20.8792083243,58.2872996485,67.4901758106
6,51.823836163,57.098856872,4.86206552085,5.28834255714,27.7672684939,32.7021461726,7.3287903758,9.4338607603,8.38702420199,9.07597684317,5.98564634105,7.74893270815,58.8702508456,65.422454481,7.44184229653,7.98109702593,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.964310155,131.642888474,242.837998157,299.883251915,7.53371561436,9.51482467149,16.7951333078,20.7710282887,57.8820987103,67.573391828
7,51.5444220753,57.0826179148,4.86494698399,5.2873754839,27.7668720362,32.7015026483,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,58.8699236858,65.4218817369,7.44480536301,7.97961281706,2.1140093842,2.4569416974,16.7876760881,19.0536960766,118.96431016,130.360900936,242.701104035,299.703588949,7.53508009051,9.5204239635,16.7595681761,20.7106640791,57.9230407973,67.7054123752
8,54.6895861917,60.45715778,4.94098348445,5.36049930667,27.8778435078,32.8122557786,7.3287903758,9.4338607603,8.40063044059,9.1170582527,5.98564634105,7.74893270815,59.0921651617,65.6439559607,7.52092508303,8.05230742002,2.1140093842,2.4569416974,16.7876760881,19.0536960766,125.075408957,137.754573266,247.51836965,315.78058475,8.57618991332,10.568279332,17.5031615396,21.4546486006,61.2019159452,71.0673221165
9,54.4745173113,60.4188560571,4.94193977079,5.35927248539,27.8774629555,32.8116544325,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,59.0918335935,65.6434123077,7.52230670439,8.05077671939,2.1140093842,2.4569416974,16.7876760881,19.0536960766,125.075409008,136.47199997,247.358910995,315.576437471,8.57669773965,10.5783056566,17.4498353563,21.3988391656,61.3589951755,71.3488317333
10,54.0721427235,60.1716629791,6.96922724476,8.01164845696,27.8697883762,32.8038583935,7.3287903758,9.4338607603,8.40650223253,9.13587449164,5.98564634105,7.74893270815,59.0769709245,65.6284078666,11.2403388841,13.9476570612,2.1140093842,2.4569416974,16.7876760881,20.2287180373,137.298311191,149.97809248,247.397073706,315.635871978,10.8545912379,12.8201412679,19.5292146156,23.5626588526,67.5682761023,77.643110934
11,53.8778686184,60.1431889654,6.92615319478,8.01486603376,27.868851802,32.8027903831,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,59.0752941247,65.626561078,11.1936411038,13.9353951761,2.1140093842,2.4569416974,16.7876760881,19.0536960766,137.298311194,148.694901751,247.214779726,315.396724866,10.8581008369,12.8227978842,19.4745896369,23.5022794327,67.7279204091,77.9260573404
12,68.999707403,80.5325749801,14.1699953596,16.001741255,27.8746517246,32.8085265951,7.3287903758,9.4338607603,8.41320167079,9.15432501841,5.98564634105,7.74893270815,59.0873379593,65.6384245846,19.1880969168,22.436429434,2.1140093842,3.09916833665,16.7876760881,21.0242122535,161.742002449,174.423757753,283.66640356,363.084504422,13.5257607342,15.4659033151,29.8149262523,36.663704356,103.700018245,121.019676401
13,70.030104768,80.2750892787,14.1754305232,16.0050606705,27.8742217266,32.8080897606,7.3287903758,9.4338607603,7.70791213723,7.58786692168,5.98564634105,7.74893270815,59.0868939083,65.6378270511,19.1817738006,22.4359687942,2.1140093842,2.62886123276,16.7876760881,19.0536960766,161.74200242,173.138593226,283.617188172,363.028554035,13.5553751489,15.4308549767,29.9374833946,36.8753186886,104.206986362,122.045225026
14,70.7351546391,79.0280832843,12.8890623786,14.4999864459,23.5541033579,27.5153606218,1.5862903758,2.6843607603,3.9579679956,3.68317306524,1.85264634105,2.75143270815,50.0582353818,54.6347217424,20.8087593657,23.6345262971,0.962509384202,1.7172994175,9.3856760881,12.1197136889,148.333200338,155.84847115,279.34039189,355.939514351,12.2513230349,13.5702766855,35.3041521986,37.7705656631,123.057386484,158.893914399
